text,created_at,sentiment_score,sentiment_label,text_length,hour_of_day
"@FelipeL08403741 https://t.co/hBC73gVg1N

Thank you so kindly",2025-06-29 22:19:57+00:00,0.7178,positive,61,22
"They play 44 games in 3 months. The burnout will cause injuries. Honestly they need to go back to 40 games, up rooster to 14, &amp; extend their season by a month or two. https://t.co/2SSJrR6mRe",2025-06-29 22:19:57+00:00,0.7269,positive,194,22
@912GAgirl A young adult working towards their higher education shouldn't have to suffer from the stress of college and a job and paying off loans that are designed to keep you in lifelong debt. College students are working for something: their degree. They shouldn't be forced into,2025-06-29 22:19:56+00:00,0.0077,neutral,282,22
@JoJoFromJerz @Wisdom_wavesX @lisamurkowski Someone should look in on your kids. This anger you have makes me fearful for them.,2025-06-29 22:19:56+00:00,-0.8213,negative,127,22
"@crockpics That JBL Clip 5 looks sick! Perfect for hikes or beach trips. Speaking of sound, have you checked out @alexgraytrust? They do amazing work with music therapy for mental health. Worth a follow!",2025-06-29 22:19:55+00:00,0.7707,positive,203,22
"@coulddycold Absolutely nailed it 👇🏾
You don’t realize how complicated Web3 feels…
until you touch $NEAR and everything just works,No friction
No confusion,No gas stress
Just smooth Web3 the way it should have always
been
@NEARProtocol is not hype , it's the standard 🔥💯
#NEAR",2025-06-29 22:19:55+00:00,-0.7506,negative,276,22
〃 The wind in the sails are careful and calm today. 〃,2025-06-29 22:19:55+00:00,0.4404,positive,53,22
"@AEMentalhealth @recovery_your This lad coming back in my life after not seeing him for 7yrs, really helped me tbh the family court system let us down tbh,he was just 1 of many things why depression took hold of me and once ot got a hold of you it doesn't want to let go of you https://t.co/wSBkly9Sw0",2025-06-29 22:19:55+00:00,-0.6023,negative,301,22
@LeakerApple @_lonewolf_abdul @devilnerd31 @TheGalox_ It’s video playback dude which shows battery test without stress on CPU just battery test and this test proves higher density battery on the Samsung,2025-06-29 22:19:54+00:00,0.3252,positive,202,22
@frailkiss the concept of mass at couples therapy,2025-06-29 22:19:54+00:00,0.0,neutral,49,22
